시설유형,시설종류,시설명,시도,시군구,주소
아동복지시설,지역아동센터,LH행복꿈터 광주지역아동센터,광주광역시,북구,"광주광역시 북구 연양로7번길 58, 주민복지관동 (신용동, 신용주공아파트)"
아동복지시설,지역아동센터,LH행복꿈터 동백푸른학교지역아동센터,경기도,용인시 기흥구,"경기도 용인시 기흥구 동백중앙로 41 (중동, 초당마을주공3단지 관리동 2층)"
아동복지시설,지역아동센터,LH행복꿈터 물푸레지역아동센터,경기도,용인시 기흥구,"경기도 용인시 기흥구 구성로 392, 1층 (청덕동, 휴먼시아 물푸레마을 주민공동시설1)"
아동복지시설,지역아동센터,LH행복꿈터 미사강변지역아동센터,경기도,하남시,"경기도 하남시 아리수로 565-3, 2층 (망월동)"
아동복지시설,지역아동센터,LH행복꿈터 삼송지역아동센터,경기도,고양시 덕양구,"경기도 고양시 덕양구 오금2로 26 (신원동, 신원마을 2단지 주민복지관 2층)"
아동복지시설,지역아동센터,LH행복꿈터 새빛지역아동센터,전라남도,여수시,전라남도 여수시 소라면 덕양로 97-7 (죽림휴먼시아1차 관리실 옆)
아동복지시설,지역아동센터,LH행복꿈터 에덴지역아동센터,대구광역시,남구,대구광역시 남구 큰골4길 19 (대명동)
아동복지시설,지역아동센터,LH행복꿈터 용연지역아동센터,충청남도,아산시,"충청남도 아산시 배방읍 용연로 36, 103동 1층 (용연휴먼시아1단지 )"
아동복지시설,지역아동센터,LH행복꿈터 우리나래지역아동센터,경기도,부천시 소사구,"경기도 부천시 소사구 양지로 20, 2층 202호 (괴안동, 범박휴먼시아1단지)"
아동복지시설,지역아동센터,LH행복꿈터 인주지역아동센터,충청남도,아산시,"충청남도 아산시 인주면 아산만로 1674-10, 105동 1층 (LH 주공아파트)"
아동복지시설,지역아동센터,LH행복꿈터 지수들꽃지역아동센터,경상남도,진주시,경상남도 진주시 지수면 지수로 443
아동복지시설,지역아동센터,LH행복꿈터 춘천YMCA만천지역아동센터,강원특별자치도,춘천시,강원특별자치도 춘천시 동면 후석로326번길 96 (춘천만천엘에이치아파트)
아동복지시설,지역아동센터,LH행복꿈터 춘천YMCA장학지역아동센터,강원특별자치도,춘천시,"강원특별자치도 춘천시 동면 소양강로 100, 106동 2층 (춘천장학엘에이치1단지)"
