시설유형,시설종류,시설명,시도,시군구,주소
정신건강기관,정신재활시설,리커버리하우스,서울특별시,관악구,"서울특별시 관악구 남부순환로172길 116(신림동), 2층"
정신건강기관,정신요양시설,마산정신요양원,경상남도,창원시 마산합포구,경상남도 창원시 마산합포구 진북면 진북산업로622-60
정신건강기관,정신요양시설,마야정신요양원,경상북도,영천시,경상북도 영천시 북안면 내서로 55-24
정신건강기관,정신재활시설,마음건강,전라북도,전주시 완산구,전라북도 전주시 완산구 권삼득로 40 (1층)
정신건강기관,정신재활시설,마음건강복지관,전라북도,전주시 완산구,전라북도 전주시 완산구 물왕멀2길 20-29 (2~5층)
정신건강기관,정신재활시설,마음건강회복홈,전라북도,전주시 완산구,전라북도 전주시 완산구 물왕멀2길 25
정신건강기관,정신재활시설,마음건강힐링홈,전라북도,전주시 완산구,전라북도 전주시 완산구 물왕멀2길 20-17
정신건강기관,정신재활시설,마음사랑의집,전라북도,정읍시,전라북도 정읍시 수성택지3길 28
정신건강기관,정신재활시설,마음샘정신재활센터,경기도,수원시 장안구,경기도 수원시 장안구 경수대로 754번길 26-17
정신건강기관,기초정신건강복지센터,마음애병원,충청남도,천안시 서북구,"충청남도 천안시 서북구 서부8길 29, 2층"
