기관마다 어느 경로로 공고가 들어오는지 (2026-09-25)
「없음」 이 우리가 놓치는 곳입니다.

경로는 세 가지를 합쳐 봤습니다 —
  알리오·클린아이  그 API 의 기관 목록에 이름이 있는지 (알리오 353곳 · 클린아이 176곳)
  홈페이지        HOSP_SITES 에 켜져 있는지 (317곳 중 켜진 270곳)
  그 밖          실제로 그 기관 공고가 들어온 적이 있는지

경로	갈래	기관명
★ 없음	보건기관	정선군보건소고한사북지소
★ 없음	보건기관	정선군보건소남면지소
★ 없음	보건기관	정읍시보건소
★ 없음	보건기관	제주시동부보건소
★ 없음	보건기관	제주시서부보건소
★ 없음	보건기관	제주시제주보건소
★ 없음	보건기관	제주시제주보건소 추자지소
★ 없음	보건기관	제천시보건소
★ 없음	보건기관	조도보건지소
★ 없음	보건기관	조천보건지소
★ 없음	보건기관	종로구보건소
★ 없음	보건기관	주천면보건지소
★ 없음	보건기관	주천통합보건지소
★ 없음	보건기관	죽왕보건지소
★ 없음	보건기관	중구보건소
★ 없음	보건기관	중동면보건지소
★ 없음	보건기관	중부보건지소
★ 없음	보건기관	중앙보건지소
★ 없음	보건기관	증도면보건지소
★ 없음	보건기관	증평군도안보건지소
★ 없음	보건기관	증평군보건소
★ 없음	보건기관	지도읍보건지소
★ 없음	보건기관	진도군보건소
★ 없음	보건기관	진안군보건소
★ 없음	보건기관	진월보건지소
★ 없음	보건기관	진주시보건소
★ 없음	보건기관	진천군보건소
★ 없음	보건기관	창녕군보건소
★ 없음	보건기관	창원시마산보건소
★ 없음	보건기관	창원시마산보건소내서읍보건지소
★ 없음	보건기관	창원시마산보건소동마산보건지소
★ 없음	보건기관	창원시진해보건소
★ 없음	보건기관	창원시창원보건소
★ 없음	보건기관	창원시창원보건소동읍보건지소
★ 없음	보건기관	창평 건강증진형 보건지소
★ 없음	보건기관	처인구보건소
★ 없음	보건기관	천안시동남구보건소
★ 없음	보건기관	천안시병천면보건지소
★ 없음	보건기관	천안시서북구보건소
★ 없음	보건기관	천안시직산읍보건지소
★ 없음	보건기관	철암보건지소
★ 없음	보건기관	철원군보건소
